,C8:0,C10:0,C12:0,C14:0,C16:0,C18:0,C18:1,C18:2,C18:3,C20:0,C20:1,C22:1,Outros,Número de cetanos
A128,0,0,0,0,0.2,13.8,45.3,0,0,34.7,4.2,0,1.8,64.86
A129,0,0,0,0,66,3.5,27.5,3,0,0,0,0,0,65.27
A130,0,0,0,0.1,17.8,14,46.3,17.9,0,3,0,0,0.9,56.61
A131,0,0,0,0,25.4,0,46.8,27.8,0,0,0,0,0,52.22
A132,0,0,0,0,24.4,7.2,50.5,15.8,0.6,0.7,0.2,0,0.6,56.33
A133,0,0,0,0.4,19.7,6.5,50.3,21.6,1.1,0,0,0,0.4,54
A134,0,0,0,3.2,3.1,2.6,88,2.9,0,0,0,0,0.2,54.5
A135,0,0,0,1.4,15.6,9.7,40.8,32.1,0,0.4,0,0,0,52.31
A136,0,0,0,0,9.7,2.4,83.8,0.8,0,3.3,0,0,0,56.32
A137,0,0,0,0,10.4,5.5,64.4,12.4,0,1.8,2.6,1.7,1.2,55.37
A138,0,0,0,11,1.2,0.5,56,29,0,2.3,0,0,0,49.9
A139,0,0,0,1.8,15.2,4.5,32.6,43.6,0,0,0,0,2.3,48.97
A140,0,0,0,0,16.6,8.8,30.5,36,8.1,0,0,0,0,48.3
A141,0,0,0,8,23,8,32,22,0,3,0,0,4,57.51
A142,0,0,0,2.4,5.4,0,45.8,46.4,0,0,0,0,0,45.2
A143,0,0,0,0,2.3,38.3,57.9,0.8,0.4,0,0.3,0,0,61.5
A144,0,0,0,0,2.5,56.4,39.4,1.7,0,0,0,0,0,65.16
A145,0,0,0,4.43,0,7.93,63.24,24.4,0,0,0,0,0,50.71
A146,0,0,0,0.1,8.1,1.2,20.8,67.7,0,0,0,0,2.1,41.37
A147,0,0,0,39.2,13.3,2.4,44.1,1,0,0,0,0,0,61.85
A148,0,0,0,0,9,0,14.6,73.7,2.7,0,0,0,0,38.73
A149,0,0,0,0.2,11,10.2,29.5,46.4,0.4,0,2.3,0,0,48.31
